,Unnamed: 0,Unnamed: 0.1,est,se
396,396,396,MIPS (w/ SLOPE),1.913465674547128e-06
397,397,397,Learned MIPS OneHot,1.1608935297332632e-06
398,398,398,Learned MIPS FineTune,1.0338519939404831e-06
399,399,399,Learned MIPS Combined,1.2131434188722415e-06
400,400,400,IPS,2.551129776454372e-06
401,401,401,DR,5.8620103104807146e-08
402,402,402,DM,0.0006265446666194
403,403,403,SNIPS,1.2060750944109034e-06
404,404,404,SwitchDR,1.1109433742249724e-05
405,405,405,MIPS,3.163142571112207e-08
406,406,406,MIPS (w/ SLOPE),2.1692567475724723e-06
407,407,407,Learned MIPS OneHot,4.015472619179694e-06
408,408,408,Learned MIPS FineTune,3.28295128663809e-06
409,409,409,Learned MIPS Combined,3.9533843639591296e-06
410,410,410,IPS,1.8874034226845075e-05
411,411,411,DR,7.063892460968176e-05
412,412,412,DM,1.1651512707563045e-05
413,413,413,SNIPS,1.930465885699868e-05
414,414,414,SwitchDR,8.953327079634262e-06
415,415,415,MIPS,1.5104409961333012e-05
416,416,416,MIPS (w/ SLOPE),1.0863978627729218e-05
417,417,417,Learned MIPS OneHot,7.73034005926112e-06
418,418,418,Learned MIPS FineTune,7.965101333203106e-06
419,419,419,Learned MIPS Combined,8.04148801103792e-06
420,420,420,IPS,0.000212727310825
421,421,421,DR,6.931289250955601e-05
422,422,422,DM,0.0004050156718034
423,423,423,SNIPS,0.0002140248500801
424,424,424,SwitchDR,2.4050336304507787e-06
425,425,425,MIPS,6.0407072985252505e-05
426,426,426,MIPS (w/ SLOPE),1.1153280395219726e-05
427,427,427,Learned MIPS OneHot,4.204654323108807e-06
428,428,428,Learned MIPS FineTune,4.503960117814403e-06
429,429,429,Learned MIPS Combined,4.303284052502566e-06
430,430,430,IPS,1.7603274593457582e-05
431,431,431,DR,0.0001404236640042
432,432,432,DM,0.0001241007538076
433,433,433,SNIPS,1.7310027835213008e-05
434,434,434,SwitchDR,4.4016370603465785e-06
435,435,435,MIPS,5.746042317981285e-06
436,436,436,MIPS (w/ SLOPE),2.8667842540057404e-06
437,437,437,Learned MIPS OneHot,1.257074015568551e-06
438,438,438,Learned MIPS FineTune,1.9219010492549307e-06
439,439,439,Learned MIPS Combined,1.4178847526321805e-06
440,440,440,IPS,1.2551613585047907e-05
441,441,441,DR,0.0001060094523231
442,442,442,DM,0.0007146887514971
443,443,443,SNIPS,1.329340966965857e-05
444,444,444,SwitchDR,2.958517905499036e-05
445,445,445,MIPS,1.5119670429898651e-06
446,446,446,MIPS (w/ SLOPE),6.344045770692845e-08
447,447,447,Learned MIPS OneHot,1.913008907133138e-07
448,448,448,Learned MIPS FineTune,8.214592854927379e-09
449,449,449,Learned MIPS Combined,1.544268032181134e-07
450,450,450,IPS,2.0282643993748905e-05
451,451,451,DR,1.0935366442833904e-05
452,452,452,DM,4.289197033462261e-05
453,453,453,SNIPS,2.003658495920237e-05
454,454,454,SwitchDR,1.3343139880226931e-05
455,455,455,MIPS,1.4148048322378202e-05
456,456,456,MIPS (w/ SLOPE),1.000728201086598e-05
457,457,457,Learned MIPS OneHot,9.413054601950144e-06
458,458,458,Learned MIPS FineTune,9.465105742444176e-06
459,459,459,Learned MIPS Combined,9.202923879730415e-06
460,460,460,IPS,2.367042062370132e-05
461,461,461,DR,7.88463449610873e-06
462,462,462,DM,3.664476127074742e-05
463,463,463,SNIPS,2.3680944365202805e-05
464,464,464,SwitchDR,5.514075444753075e-07
465,465,465,MIPS,1.2470165764115304e-05
466,466,466,MIPS (w/ SLOPE),1.0730042778479873e-05
467,467,467,Learned MIPS OneHot,8.640106234652753e-06
468,468,468,Learned MIPS FineTune,8.874745797332496e-06
469,469,469,Learned MIPS Combined,8.124076043279252e-06
470,470,470,IPS,1.908314265803661e-05
471,471,471,DR,0.0001170218034729
472,472,472,DM,6.621930244541844e-06
473,473,473,SNIPS,1.9297753433923773e-05
474,474,474,SwitchDR,2.933306956090773e-05
475,475,475,MIPS,6.7974277896010015e-06
476,476,476,MIPS (w/ SLOPE),7.33397448022207e-06
477,477,477,Learned MIPS OneHot,8.197164422906164e-06
478,478,478,Learned MIPS FineTune,8.259840636959414e-06
479,479,479,Learned MIPS Combined,8.431388462866828e-06
480,480,480,IPS,1.757643282929871e-05
481,481,481,DR,1.1185834036981498e-05
482,482,482,DM,4.65831982949182e-08
483,483,483,SNIPS,1.6892708434909165e-05
484,484,484,SwitchDR,1.4421580029725328e-05
485,485,485,MIPS,5.313167953972322e-06
486,486,486,MIPS (w/ SLOPE),4.523270121452825e-06
487,487,487,Learned MIPS OneHot,5.070719640840529e-06
488,488,488,Learned MIPS FineTune,4.598467951006572e-06
489,489,489,Learned MIPS Combined,5.067112911388546e-06
490,490,490,IPS,6.833130097935616e-06
491,491,491,DR,3.4080998225941792e-06
492,492,492,DM,1.6726149711050142e-06
493,493,493,SNIPS,6.063863741170832e-06
494,494,494,SwitchDR,4.307660927744048e-08
495,495,495,MIPS,8.10211547214701e-07
496,496,496,MIPS (w/ SLOPE),1.6068384376071083e-06
497,497,497,Learned MIPS OneHot,1.436998531012705e-06
498,498,498,Learned MIPS FineTune,1.7150472624538117e-06
499,499,499,Learned MIPS Combined,1.4950025808880451e-06
500,500,500,IPS,8.964189591801542e-06
501,501,501,DR,2.659930403233008e-05
502,502,502,DM,0.0001102323257681
503,503,503,SNIPS,9.2756444419659e-06
504,504,504,SwitchDR,1.0598842564021944e-05
505,505,505,MIPS,3.0318096033523167e-06
506,506,506,MIPS (w/ SLOPE),8.087849011611716e-07
507,507,507,Learned MIPS OneHot,7.200073678309409e-07
508,508,508,Learned MIPS FineTune,7.731752144437582e-07
509,509,509,Learned MIPS Combined,5.9768798359498e-07
510,510,510,IPS,2.422633649752128e-05
511,511,511,DR,6.408222139431057e-05
512,512,512,DM,1.2868962127323071e-05
513,513,513,SNIPS,2.421517365372296e-05
514,514,514,SwitchDR,7.905994028130243e-05
515,515,515,MIPS,1.7164478161032657e-05
516,516,516,MIPS (w/ SLOPE),1.8686181495621497e-05
517,517,517,Learned MIPS OneHot,1.589454545217627e-05
518,518,518,Learned MIPS FineTune,1.596866172302407e-05
519,519,519,Learned MIPS Combined,1.5930666821080193e-05
520,520,520,IPS,2.219941626407552e-05
521,521,521,DR,3.237734176913609e-05
522,522,522,DM,2.6077450050895007e-05
523,523,523,SNIPS,2.1942372626795723e-05
